observed_at,latitude,longitude,speed_kn,course_deg,alarms,note
2026-09-08T14:00:00+01:00,47.49987,-2.378515,7,270,,Arzal
2026-09-09T10:00:00+02:00,47.34782,-3.15701,,,,"Belle-Île (Le Palais)"
2026-09-09T18:00:00+02:00,46°17 N,9°3 W,,,,
2026-09-13T09:46:20Z,43.835383,-13.012515,6.3,187,,AIS VesselFinder
2026-09-17T09:31:44Z,36°16'43.05 N,17°35'49.68 W,6.48,174,,
2026-09-17T23:17:47Z,34°41'39.62 N,17°15'28.09 W,7.02,170,,
2026-09-18T10:51:00Z,33.490368,-16.947184,5.5,167,,AIS MarineTraffic
2026-09-18T12:05:00Z,33.362766,-16.913601,7.9,144,,AIS MarineTraffic
2026-09-18T15:06:00Z,33.108398,-16.749884,6.3,159,,AIS MarineTraffic
2026-09-18T18:19:00Z,32.833317,-16.615517,6.3,175,,AIS MarineTraffic
2026-09-18T20:07:00Z,32.679115,-16.677433,6.3,228,,AIS MarineTraffic
2026-09-18T23:18:00Z,32°38'42.82 N,16°54'19.3 W,5.40,172,,"Funchal (0,16 km)"
